Code,MthEnd,MthFwdReturn,MthEndMCap
CPB,31-12-2010,-1.7554,11590.6
DD,31-12-2010,1.6038,45535.2
DELL,31-12-2010,-2.8782,26155.4
DOW,31-12-2010,3.925,39626.8
DVN,31-12-2010,12.9665,33908.5
EMC,31-12-2010,8.69,47183.1
ETR,31-12-2010,1.8919,12814.2
FCX,31-12-2010,-9.0713,56547.9
HNZ,31-12-2010,-3.9628,15864.2
HPQ,31-12-2010,8.5273,92216.9
HSH,31-12-2010,-3.084,11193.6
NOV,31-12-2010,9.8885,28220.5
NSC,31-12-2010,-2.5947,22827
NYX,31-12-2010,6.1041,7824.8
RF,31-12-2010,1.4286,8792.6
WMB,31-12-2010,9.1828,14455.6
WY,31-12-2010,22.4511,10145.4
XRX,31-12-2010,-7.8125,15980.5
AAPL,31-01-2011,4.0935,312608.1
ABBV,31-01-2011,NA,NA
ABT,31-01-2011,6.5102,69809
ACN,31-01-2011,0.0194,36622.3
AGN,31-01-2011,2.6963,7224.6
AIG,31-01-2011,-8.1537,72233.8
ALL,31-01-2011,2.0552,16759.1
AMGN,31-01-2011,-6.8083,52040.4
AMZN,31-01-2011,2.1516,76508.3
AXP,31-01-2011,0.438,52219.3
BA,31-01-2011,4.2407,51085.8
BAC,31-01-2011,4.0787,138469.1
BIIB,31-01-2011,4.4753,15601.7
BK,31-01-2011,-2.6897,38739.4
BLK,31-01-2011,3.0148,37844.7
BMY,31-01-2011,2.502,43100.2
BRK/B,31-01-2011,6.7645,201902.8
C,31-01-2011,-2.9046,140061.5
CAT,31-01-2011,6.1025,61572.5
CELG,31-01-2011,3.0468,24252.1
CHTR,31-01-2011,8.9762,4720.6
CL,31-01-2011,2.2795,37055.6
CMCSA,31-01-2011,13.2308,62537.4
COF,31-01-2011,3.4443,21806.8
COP,31-01-2011,9.9224,104990.8
COST,31-01-2011,4.3922,31359.9
CSCO,31-01-2011,-12.2459,117229.4
CVS,31-01-2011,-3.3333,46471
CVX,31-01-2011,10.1027,191039.8
DHR,31-01-2011,9.8567,30121.1
DIS,31-01-2011,12.5289,73603.6
DUK,31-01-2011,1.9978,23682.9
DWDP,31-01-2011,4.7351,41182.2
EMR,31-01-2011,1.8979,44316.5
EXC,31-01-2011,-0.5381,28116.7
F,31-01-2011,-5.6426,58119.4
FB,31-01-2011,NA,NA
